Company,Year,Overlap-coefficient,Cos-similarity
BP,2011,18.776648081338145,0.7195966340105175
BP,2012,18.465070514922928,0.6524772603850885
BP,2013,17.64512955067235,0.6347782980096729
BP,2014,18.153492948507708,0.5994907602964218
BP,2015,18.84224335847819,0.6133792719211746
Exxon,2011,18.678255165628073,0.7104593204887036
Exxon,2012,20.531321744834372,0.666665673408903
Exxon,2013,19.64578550344375,0.6404807745326805
Exxon,2014,20.662512299114464,0.6505155063129435
Exxon,2015,24.1390619875369,0.6146261544084756
Chev,2011,12.20072154804854,0.6733733288494708
Chev,2012,12.151525090193505,0.7032883209301969
Chev,2013,7.658248606100361,0.5669548850138233
Chev,2014,8.281403738930797,0.6404431256590162
Chev,2015,10.446047884552312,0.6735458314538171
Total,2011,13.64381764512955,0.6836097847721055
Total,2012,11.151197113807806,0.6172370471871118
Total,2013,14.234175139389965,0.6616413907367873
Total,2014,9.527714004591669,0.5919820991186922
Shell,2011,14.545752705805182,0.6972806978292329
Shell,2012,16.185634634306332,0.7151757381978944
Shell,2013,16.562807477861593,0.6648968569293705
Shell,2014,19.235815021318466,0.6128722473329087
Shell,2015,19.924565431288947,0.6586723437733105
Equi,2011,23.679895047556577,0.678879778812324
Equi,2012,18.62905870777304,0.6497910097474318
Equi,2013,14.316169235815021,0.5969680468018832
Equi,2014,14.381764512955067,0.5926613634088697
Equi,2015,14.840931452935388,0.5994793163912749
Rosn,2011,16.136438176451296,0.7504169692379365
Rosn,2012,16.136438176451296,0.7504169692379365
Rosn,2013,18.333879960642836,0.7154936324797224
Rosn,2014,20.006559527714003,0.7050994733143888
Rosn,2015,20.104952443424075,0.6712619973775541
Gazp,2011,18.49786815349295,0.6100931352475665
Gazp,2013,18.219088225647752,0.7498625218017061
Gazp,2015,18.038701213512628,0.7869493526840394
Pb,2011,21.72843555264021,0.6646439617261232
Pb,2012,20.760905214824533,0.6009712744334488
Pb,2013,14.578550344375204,0.6444106016332422
Pb,2014,14.988520826500492,0.7587442196227727
Pb,2015,17.464742538537227,0.7656472641015416
Kuwa,2013,13.135454247294195,nan
Kuwa,2015,9.872089209576911,0.7608603659600477
Qata,2011,19.580190226303706,0.6070748501956365
Qata,2012,20.25254181698918,0.6267231852630019
Qata,2013,19.793374877008855,0.6783214475387676
Qata,2014,13.283043620859297,0.7069801627792712
Qata,2015,12.594293210888816,0.7011214540860061
Pch,2014,14.824532633650378,0.7179624943913965
Pch,2015,17.36634962282716,0.7404960155918173
Indi,2011,10.249262053132174,0.7250599215175274
Indi,2013,13.938996392259757,0.6391219855667964
Indi,2014,12.577894391603806,0.6964912911601974
Indi,2015,11.561167595933092,0.6694916773808921
Pn,2011,9.740898655296819,0.6542459312061788
Pn,2012,8.133814365365694,0.5215766537457568
Pn,2013,9.954083306001968,0.4238421779124167
Pn,2014,14.152181042964907,0.5302365716461221
Pn,2015,14.545752705805182,0.5530601739520328
