Company,Year,Overlap-coefficient,Cos-similarity
Bp,2020,22.7569562748438,0.598740635659023
Bp,2021,17.2629187961386,0.551347463280023
Bp,2022,18.6399772856332,0.537253539290294
Exxon,2021,13.8131743327655,0.589671350510555
Che,2020,16.5105053946621,0.733409946158046
Che,2021,18.1856899488927,0.707793516315424
Che,2022,15.1618398637138,0.66015371571677
Shell,2020,19.5059625212947,0.66927329678847
Shell,2021,14.4236229415105,0.580716817842656
Shell,2022,15.885860306644,0.571825130130117
Equi,2020,16.9931856899489,0.657339389286308
Equi,2021,17.0641680863146,0.521685252187921
Pb,2020,28.7336740488359,0.742645900936635
Pb,2021,26.9733106189665,0.720599285519521
Eco,2020,28.847245883021,0.810100138705375
Ecop,2021,25.1135718341851,0.787109562486957
Ros,2020,24.4179443498013,0.80229896551155
Ros,2021,23.0834752981261,0.767687396955012
Gaz,2020,21.8199886428166,0.774614483403619
Gaz,2021,20.6274843838728,0.81756088501212
Qata,2020,15.8716638273708,0.610021720970569
Qata,2021,18.8103350369108,0.598902835776892
Pch,2020,14.2532651902328,0.778054051462204
Pch,2021,18.0579216354344,0.77999883461353
Indi,2020,12.649063032368,0.656923760313947
Indi,2021,16.4111300397501,0.735840034600682
Pn,2020,23.4241908006814,0.729973915859044
Pn,2021,23.4951731970471,0.674467934639405
