Company,Year,Overlap-coefficient,Cosine-similarity_Total_Frequency,Cosine-similarity_Relative_Frequency
BP,2020,62.967157417893546,0.26540298628735715,0.26540298628734516
BP,2021,56.05889014722537,0.2356839073722003,0.2356839073721897
BP,2022,56.73839184597962,0.28420669668617,0.2842066966861575
Exxon,2021,47.90486976217441,0.2884868351491782,0.2884868351491653
Che,2020,55.03963759909399,0.3335757954040635,0.3335757954040508
Che,2021,60.47565118912798,0.2918407527376656,0.29184075273765414
Che,2022,59.22989807474519,0.24794311086198212,0.24794311086196788
Shell,2020,57.87089467723669,0.2618038097621589,0.2618038097621451
Shell,2021,49.943374858437146,0.23952021602896867,0.2395202160289591
Shell,2022,51.868629671574176,0.24012940434906907,0.24012940434905794
Equi,2020,54.36013590033974,0.30253078116352017,0.30253078116351056
Equi,2021,53.680634201585505,0.2690801761151113,0.2690801761151007
Pb,2020,71.23442808607021,0.28564596067992803,0.2856459606799146
Pb,2021,69.6489241223103,0.2830519435535666,0.28305194355355145
Rosn,2020,66.70441676104191,0.3040011071016995,0.3040011071016882
Rosn,2021,64.43941109852774,0.29314767965635763,0.2931476796563462
Gazp,2020,66.36466591166477,0.1967124977363427,0.19671249773633231
Gazp,2021,62.74065685164213,0.21927959853138745,0.21927959853137644
Qata,2020,54.02038505096263,0.3048926578101913,0.3048926578101808
Qata,2021,58.77689694224235,0.30716063642193325,0.30716063642192254
Pch,2020,51.52887882219706,0.2789793317709214,0.2789793317709113
Pch,2021,57.07814269535674,0.2675040416221961,0.26750404162217983
Indi,2020,52.32163080407701,0.22873168358684823,0.22873168358684084
Indi,2021,59.11664779161948,0.3094991389988416,0.30949913899882814
Pn,2020,67.72366930917327,0.2430067712547093,0.24300677125469483
Pn,2021,68.85617214043035,0.23540156606911178,0.23540156606909607
BP,2019,56.62514156285391,0.2772938616405343,0.2772938616405252
Exxon,2019,43.14835787089468,0.32078948765758614,0.32078948765757453
Chev,2019,46.4326160815402,0.2930359734850209,0.29303597348499916
Shell,2019,56.62514156285391,0.2574330122384584,0.257433012238446
Equi,2019,54.13363533408834,0.29364899180435733,0.29364899180434734
Rosn,2019,63.42015855039638,0.3058384327103246,0.3058384327103126
Gazp,2019,66.5911664779162,0.20258776157726543,0.20258776157725508
Pb,2019,69.30917327293318,0.2928401887322337,0.2928401887322199
Qata,2019,57.531143827859566,0.3478568608890233,0.3478568608890147
Pch,2019,42.92185730464326,0.2707706924904859,0.270770692490473
Indi,2019,47.56511891279728,0.21180385147156156,0.2118038514715466
Pn,2019,69.42242355605889,0.22059304738215327,0.22059304738214003
