Company,Year,Overlap-coefficient,Cosine-similarity_Total_Frequency,Cosine-similarity_Relative_Frequency
BP,2016,16.304839439167797,0.5094154833061758,0.5094066007477085
BP,2017,14.654002713704205,0.5847690807264184,0.5845463511715346
BP,2018,17.096336499321573,0.601890464100913,0.6016451890653479
BP,2019,19.810040705563093,0.5404836174607217,0.5402452529703594
Exxon,2016,18.1592039800995,0.5682466159066653,0.5681582439901701
Exxon,2017,11.555857078245138,0.5510652157981702,0.5508416749671786
Exxon,2018,12.799638172772502,0.5792767194805922,0.5790363222821222
Exxon,2019,12.392582541836275,0.6099644215364844,0.6097698348352522
Chev,2016,11.08095884215287,0.6666232283575363,0.6663263192410502
Chev,2017,11.646313885119856,0.6398289572081262,0.6397021079068187
Chev,2018,11.058344640434193,0.5772785770743651,0.5768369050540066
Chev,2019,13.116236996834013,0.6288987267052069,0.6285060662067425
Shell,2016,20.21709633649932,0.5831847371929536,0.5830194806912742
Shell,2017,19.78742650384441,0.6095831381040125,0.6093880381353024
Shell,2018,21.189507010402533,0.5791649938743724,0.579011164687836
Shell,2019,19.402985074626866,0.5901989773224099,0.589990135358549
Equi,2016,15.784712799638173,0.5849681001721142,0.5847452024419607
Equi,2017,15.332428765264586,0.581684125747721,0.5814591871386581
Equi,2018,13.455450022614201,0.6070581865959208,0.6069043050314719
Equi,2019,16.169154228855724,0.6386250254482617,0.6384891201254895
Pb,2016,20.714608774310268,0.7830253459306075,0.7829140918587613
Pb,2017,18.294889190411578,0.587424474723425,0.5873449829893284
Pb,2018,18.54364540931705,0.7207798433564457,0.7206622193638436
Pb,2019,27.611940298507463,0.6986282091086451,0.6985778478847561
Kuwa,2017,13.048394391677972,0.780266336428848,0.7801160646168808
Kuwa,2019,11.781999095431932,0.8370510792714957,0.8368966195715768
Qata,2016,10.764360018091361,0.7371963079635756,0.7369467642383172
Qata,2017,13.658977838082315,0.6968093908726366,0.6965383740509964
Qata,2018,16.23699683401176,0.7397536642262674,0.7395031138969576
Qata,2019,18.56625961103573,0.5876368389995533,0.5874581148250064
Pch,2016,17.20940750791497,0.6808138166904867,0.6806258102536203
Pch,2017,16.91542288557214,0.6562397479155072,0.6561094776650094
Pch,2018,14.767073722297603,0.6676705629444418,0.6675417379049569
Pch,2019,16.12392582541836,0.6753456434985521,0.6752260052836301
Indi,2016,14.56354590682949,0.6438455453827087,0.6431515694506836
Indi,2017,15.287200361827228,0.5497145180490877,0.548950451295647
Indi,2018,15.671641791044777,0.6411529411803764,0.64049415924411
Indi,2019,11.623699683401176,0.6154024379837496,0.614832234815769
Pn,2016,14.427860696517413,0.5694398554957457,0.5692278870362667
Pn,2017,14.224332881049298,0.48583706231075235,0.48560863336723403
Pn,2018,18.9280868385346,0.5791777913199405,0.5793606352427766
Pn,2019,27.182270465852554,0.6342784490518001,0.6340084003463383
Gaz,2016,18.20443238353686,0.6207490688525164,0.6204053412316632
Gaz,2017,21.800090456806874,0.7137724500393037,0.7136748000485397
Gaz,2018,19.357756671189506,0.781139233967794,0.7811382770956545
Gaz,2019,24.71732247851651,0.730586943773193,0.7305315373583122
Rosn,2016,22.22976028946178,0.7303161070376658,0.7300878380861215
Rosn,2017,23.02125734961556,0.7347393560682581,0.7346416469318954
Rosn,2018,21.415649027589325,0.6161625477612546,0.6159513999219125
Rosn,2019,24.265038444142924,0.6845228288130132,0.6844428823777311
