UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
Parties,401,Noun,1,1
Agreement,243,Noun,1,1
Article,134,Noun,0,0
Conference,120,Noun,0,1
paragraph,116,Noun,0,0
Convention,84,Noun,0,1
country,76,Noun,1,1
meeting,76,Noun,1,1
of the,455,2-gram,1,1
the parties,201,2-gram,0,0
to the,126,2-gram,1,1
this agreement,119,2-gram,0,0
conference of,118,2-gram,0,0
parties to,118,2-gram,1,0
the conference,117,2-gram,0,0
referred to,97,2-gram,1,0
