UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP,UN_Overlap_N1,UN_Overlap_N2
Parties,401,Noun,1,1,1,1
Agreement,243,Noun,1,1,0,1
Article,134,Noun,0,0,1,1
Conference,120,Noun,0,1,0,1
paragraph,116,Noun,0,0,0,0
Convention,84,Noun,0,1,1,0
country,76,Noun,1,1,1,1
meeting,76,Noun,1,1,0,0
