,keyword,Relative_Frequency.33,Relative_Frequency
0,ability,0.0002412254251598,0.0002298850574712
1,academia,0.0001206127125799,0.0002298850574712
2,acceptance,0.0001206127125799,0.0002298850574712
3,access,0.0004824508503196,0.0018390804597701
4,accordance,0.001206127125799,0.0082758620689655
5,account,0.0003618381377397,0.0032183908045977
6,accounting,0.0002412254251598,0.0022988505747126
7,accuracy,0.0003618381377397,0.0004597701149425
8,action,0.0007236762754794,0.0034482758620689
9,actions,0.0003618381377397,0.0059770114942528
10,activities,0.0016885779761186,0.0032183908045977
11,activity,0.0002412254251598,0.0006896551724137
12,address,0.0002412254251598,0.0006896551724137
13,adequacy,0.0001206127125799,0.000919540229885
14,agencies,0.0003618381377397,0.000919540229885
15,agreement,0.0004824508503196,0.0411494252873563
16,alia,0.0001206127125799,0.0020689655172413
17,ambition,0.0001206127125799,0.0002298850574712
18,amount,0.0009649017006392,0.0002298850574712
19,analysis,0.0007236762754794,0.0002298850574712
20,application,0.0002412254251598,0.000919540229885
21,appreciation,0.0002412254251598,0.000919540229885
22,approach,0.0019298034012784,0.0016091954022988
23,april,0.0008442889880593,0.0006896551724137
24,areas,0.001206127125799,0.0006896551724137
25,aspects,0.0006030635628995,0.0002298850574712
26,assessment,0.0013267398383789,0.0004597701149425
27,assist,0.0001206127125799,0.0002298850574712
28,assistance,0.0003618381377397,0.0013793103448275
29,assumptions,0.0002412254251598,0.0022988505747126
30,attendance,0.0002412254251598,0.0002298850574712
31,availability,0.0003618381377397,0.0016091954022988
32,awareness,0.001206127125799,0.0004597701149425
33,balance,0.0002412254251598,0.0011494252873563
34,basis,0.001206127125799,0.0027586206896551
35,bodies,0.0008442889880593,0.0050574712643678
36,body,0.0006030635628995,0.0027586206896551
37,building,0.0007236762754794,0.0002298850574712
38,capabilities,0.0003618381377397,0.0002298850574712
39,capability,0.0001206127125799,0.0004597701149425
40,capacities,0.0001206127125799,0.0006896551724137
41,capacity,0.0020504161138584,0.0020689655172413
42,carry,0.0001206127125799,0.0002298850574712
43,case,0.0013267398383789,0.0006896551724137
44,centre,0.0003618381377397,0.0004597701149425
45,challenges,0.0002412254251598,0.0004597701149425
46,change,0.001206127125799,0.0041379310344827
47,changes,0.0008442889880593,0.000919540229885
48,chapter,0.0002412254251598,0.0002298850574712
49,check,0.0001206127125799,0.0002298850574712
50,clarifications,0.0002412254251598,0.0002298850574712
51,climate,0.0006030635628995,0.0071264367816091
52,collaboration,0.0002412254251598,0.0018390804597701
53,committee,0.0014473525509588,0.008735632183908
54,common,0.0003618381377397,0.0004597701149425
55,communication,0.0013267398383789,0.0082758620689655
56,communications,0.0013267398383789,0.0073563218390804
57,communities,0.0003618381377397,0.0002298850574712
58,compilation,0.0001206127125799,0.0002298850574712
59,compliance,0.0019298034012784,0.0002298850574712
60,concern,0.0003618381377397,0.0002298850574712
61,concerns,0.0008442889880593,0.0002298850574712
62,concrete,0.0001206127125799,0.0002298850574712
63,connections,0.0001206127125799,0.0004597701149425
64,construction,0.0010855144132191,0.0002298850574712
65,consultation,0.0001206127125799,0.0002298850574712
66,contact,0.0001206127125799,0.0002298850574712
67,content,0.0006030635628995,0.000919540229885
68,contribution,0.0002412254251598,0.0073563218390804
69,contributions,0.0001206127125799,0.0114942528735632
70,convention,0.0003618381377397,0.0036781609195402
71,cooperation,0.0001206127125799,0.0006896551724137
72,countries,0.0001206127125799,0.0064367816091954
73,country,0.0010855144132191,0.0094252873563218
74,coverage,0.0002412254251598,0.0006896551724137
75,creation,0.0001206127125799,0.0002298850574712
76,criteria,0.0003618381377397,0.0002298850574712
77,data,0.002532866964178,0.0011494252873563
78,date,0.0010855144132191,0.0006896551724137
79,days,0.0004824508503196,0.0004597701149425
80,december,0.0002412254251598,0.0036781609195402
81,decision,0.0001206127125799,0.0236781609195402
82,decisions,0.0003618381377397,0.0025287356321839
83,deposit,0.0001206127125799,0.0002298850574712
84,description,0.0009649017006392,0.0004597701149425
85,development,0.0016885779761186,0.0034482758620689
86,differences,0.0001206127125799,0.0002298850574712
87,document,0.0001206127125799,0.0011494252873563
88,documents,0.0003618381377397,0.0018390804597701
89,draft,0.0001206127125799,0.0013793103448275
90,economic,0.0004824508503196,0.0002298850574712
91,economy,0.0006030635628995,0.0002298850574712
92,education,0.0006030635628995,0.0002298850574712
93,effects,0.0001206127125799,0.0011494252873563
94,efficiency,0.0003618381377397,0.0002298850574712
95,effort,0.0004824508503196,0.0004597701149425
96,efforts,0.0008442889880593,0.0039080459770114
97,element,0.0001206127125799,0.0002298850574712
98,elements,0.0001206127125799,0.0013793103448275
99,emissions,0.0033771559522373,0.0059770114942528
100,end,0.0006030635628995,0.0002298850574712
101,energy,0.0015679652635387,0.0004597701149425
102,enhance,0.0007236762754794,0.0013793103448275
103,enhanced,0.0003618381377397,0.0002298850574712
104,entities,0.0003618381377397,0.0025287356321839
105,environment,0.0039802195151368,0.0006896551724137
106,environments,0.0001206127125799,0.0006896551724137
107,event,0.0004824508503196,0.0004597701149425
108,events,0.0003618381377397,0.0004597701149425
109,example,0.0002412254251598,0.0004597701149425
110,exchange,0.0002412254251598,0.0006896551724137
111,executive,0.0008442889880593,0.0004597701149425
112,experience,0.0007236762754794,0.000919540229885
113,facility,0.0006030635628995,0.0006896551724137
114,fields,0.0004824508503196,0.0002298850574712
115,file,0.0001206127125799,0.0002298850574712
116,finance,0.0003618381377397,0.004367816091954
117,financial,0.0007236762754794,0.0018390804597701
118,framework,0.0010855144132191,0.0013793103448275
119,further,0.0004824508503196,0.0025287356321839
120,gaps,0.0002412254251598,0.0004597701149425
121,gas,0.0124231093957303,0.0022988505747126
122,gases,0.0014473525509588,0.0002298850574712
123,general,0.0014473525509588,0.0002298850574712
124,global,0.0009649017006392,0.000919540229885
125,goal,0.0003618381377397,0.0006896551724137
126,goals,0.0003618381377397,0.000919540229885
127,green,0.0021710288264383,0.0004597701149425
128,greenhouse,0.0010855144132191,0.0022988505747126
129,group,0.0010855144132191,0.0036781609195402
130,groups,0.0003618381377397,0.000919540229885
131,growth,0.0004824508503196,0.0002298850574712
132,guidelines,0.0013267398383789,0.0016091954022988
133,identification,0.0003618381377397,0.0006896551724137
134,impact,0.0016885779761186,0.0016091954022988
135,impacts,0.0006030635628995,0.0032183908045977
136,implementation,0.0004824508503196,0.0124137931034482
137,implications,0.0001206127125799,0.0016091954022988
138,importance,0.0003618381377397,0.0011494252873563
139,include,0.0001206127125799,0.000919540229885
140,increase,0.0006030635628995,0.0006896551724137
141,indication,0.0001206127125799,0.0002298850574712
142,indicator,0.0003618381377397,0.0002298850574712
143,indicators,0.0008442889880593,0.0006896551724137
144,industry,0.0015679652635387,0.0002298850574712
145,inform,0.0021710288264383,0.0004597701149425
146,information,0.0026534796767579,0.0188505747126436
147,initiatives,0.0007236762754794,0.0002298850574712
148,input,0.0002412254251598,0.0004597701149425
149,institutions,0.0002412254251598,0.0013793103448275
150,instruments,0.0002412254251598,0.0016091954022988
151,integration,0.0002412254251598,0.0002298850574712
152,integrity,0.0004824508503196,0.0004597701149425
153,intention,0.0003618381377397,0.0002298850574712
154,interaction,0.0001206127125799,0.0002298850574712
155,inventory,0.0002412254251598,0.000919540229885
156,island,0.0001206127125799,0.0002298850574712
157,issue,0.0003618381377397,0.0002298850574712
158,issues,0.001206127125799,0.0002298850574712
159,jobs,0.0006030635628995,0.0002298850574712
160,knowledge,0.0004824508503196,0.0011494252873563
161,lessons,0.0001206127125799,0.0013793103448275
162,level,0.0018091906886985,0.0004597701149425
163,levels,0.0001206127125799,0.0016091954022988
164,limitations,0.0001206127125799,0.0002298850574712
165,line,0.0008442889880593,0.0025287356321839
166,maintenance,0.0004824508503196,0.0002298850574712
167,manage,0.0006030635628995,0.0004597701149425
168,management,0.0084428898805934,0.0004597701149425
169,manner,0.0002412254251598,0.0004597701149425
170,march,0.0008442889880593,0.0002298850574712
171,matters,0.0001206127125799,0.0064367816091954
172,measures,0.0003618381377397,0.0055172413793103
173,mechanism,0.0004824508503196,0.0018390804597701
174,meeting,0.0004824508503196,0.0117241379310344
175,meetings,0.0007236762754794,0.0006896551724137
176,member,0.0006030635628995,0.000919540229885
177,members,0.0003618381377397,0.0025287356321839
178,methodologies,0.0002412254251598,0.0059770114942528
