,keyword,Frequency.52,Frequency
0,ability,1.0,2.0
1,access,5.0,9.0
2,accordance,1.0,27.0
3,accuracy,1.0,2.0
4,achieve,1.0,1.0
5,achievement,2.0,4.0
6,act,1.0,2.0
7,action,12.0,43.0
8,actions,4.0,52.0
9,activities,15.0,16.0
10,activity,3.0,1.0
11,actor,1.0,2.0
12,addition,4.0,3.0
13,address,2.0,5.0
14,adequate,1.0,2.0
15,adjustment,1.0,1.0
16,africa,1.0,1.0
17,agencies,3.0,3.0
18,agency,2.0,2.0
19,agenda,1.0,5.0
20,agreement,1.0,246.0
21,agreements,4.0,2.0
22,aim,1.0,4.0
23,alia,1.0,13.0
24,analysis,2.0,1.0
25,annex,1.0,3.0
26,application,1.0,2.0
27,approach,15.0,1.0
28,approaches,1.0,19.0
29,april,1.0,6.0
30,area,6.0,2.0
31,areas,16.0,3.0
32,aspects,12.0,1.0
33,assessment,1.0,8.0
34,assistance,4.0,4.0
35,attention,5.0,2.0
36,authorities,1.0,2.0
37,authority,1.0,2.0
38,availability,4.0,1.0
39,awareness,5.0,5.0
40,balance,3.0,4.0
41,basis,5.0,16.0
42,benefit,5.0,1.0
43,benefits,7.0,5.0
44,biodiversity,5.0,1.0
45,bodies,5.0,25.0
46,build,1.0,1.0
47,building,2.0,3.0
48,capabilities,1.0,6.0
49,capacities,1.0,6.0
50,capacity,9.0,12.0
51,carbon,18.0,2.0
52,case,5.0,1.0
53,categories,3.0,2.0
54,centre,12.0,5.0
55,centres,5.0,1.0
56,certification,1.0,1.0
57,challenge,1.0,1.0
58,challenges,5.0,2.0
59,change,5.0,52.0
60,children,5.0,2.0
61,clarity,1.0,7.0
62,climate,6.0,62.0
63,collaboration,2.0,2.0
64,collective,2.0,1.0
65,commitment,7.0,1.0
66,committee,4.0,31.0
67,communication,10.0,7.0
68,communications,3.0,5.0
69,communities,10.0,6.0
70,compensation,4.0,1.0
71,compliance,3.0,2.0
72,component,1.0,1.0
73,concept,1.0,1.0
74,concern,3.0,4.0
75,conditions,2.0,1.0
76,conduct,3.0,3.0
77,conference,4.0,120.0
78,conservation,17.0,3.0
79,consideration,1.0,29.0
80,considers,1.0,2.0
81,consumption,24.0,1.0
82,context,2.0,8.0
83,contributes,1.0,1.0
84,contribution,3.0,23.0
85,contributions,1.0,44.0
86,convention,2.0,84.0
87,costs,1.0,2.0
88,countries,3.0,23.0
89,country,20.0,70.0
90,cover,4.0,1.0
91,coverage,1.0,1.0
92,cycle,4.0,2.0
93,damage,1.0,7.0
94,date,2.0,11.0
95,day,5.0,6.0
96,decent,1.0,1.0
97,decisions,1.0,17.0
98,decrease,2.0,1.0
99,delivery,2.0,2.0
100,deployment,1.0,2.0
101,development,48.0,46.0
102,dialogue,1.0,3.0
103,disaster,1.0,1.0
104,dissemination,2.0,3.0
105,documents,1.0,1.0
106,economies,4.0,1.0
107,education,4.0,4.0
108,effectiveness,1.0,5.0
109,efforts,12.0,40.0
110,emergency,1.0,1.0
111,emerging,1.0,1.0
112,emission,17.0,18.0
113,emissions,6.0,29.0
114,energy,91.0,3.0
115,engagement,16.0,2.0
116,entity,1.0,1.0
117,entry,2.0,5.0
118,environment,25.0,6.0
119,event,1.0,3.0
120,events,4.0,5.0
121,execution,3.0,1.0
122,executive,3.0,9.0
123,exercise,2.0,4.0
124,expenses,2.0,1.0
125,experiences,1.0,8.0
126,extent,2.0,2.0
127,facilities,16.0,1.0
128,facility,4.0,6.0
129,february,1.0,1.0
130,finance,3.0,15.0
131,financial,5.0,10.0
132,findings,1.0,1.0
133,floor,1.0,1.0
134,food,1.0,3.0
135,force,2.0,9.0
136,forests,2.0,5.0
137,forms,1.0,1.0
138,forum,5.0,1.0
139,foundation,4.0,1.0
140,framework,2.0,20.0
141,functions,1.0,8.0
142,fund,4.0,6.0
143,gap,1.0,1.0
144,gas,24.0,19.0
145,gases,3.0,5.0
146,gender,7.0,1.0
147,general,1.0,1.0
148,global,10.0,7.0
149,goal,1.0,10.0
150,goals,2.0,1.0
151,governance,21.0,1.0
152,government,15.0,1.0
153,green,5.0,3.0
154,greenhouse,3.0,21.0
155,group,13.0,24.0
156,groups,4.0,4.0
157,growth,31.0,1.0
158,guidance,1.0,22.0
159,guidelines,8.0,15.0
160,headquarters,1.0,1.0
161,health,25.0,3.0
162,host,1.0,2.0
163,house,4.0,1.0
164,impact,4.0,2.0
165,impacts,8.0,10.0
166,implementation,4.0,84.0
167,implications,1.0,1.0
168,importance,1.0,16.0
169,improvement,6.0,2.0
170,increase,3.0,7.0
