,keyword,Frequency.4,Frequency
0,ability,3.0,1.0
1,academia,3.0,1.0
2,access,8.0,8.0
3,accessibility,11.0,1.0
4,accordance,11.0,36.0
5,account,4.0,14.0
6,accounting,2.0,10.0
7,act,2.0,2.0
8,action,18.0,15.0
9,actions,17.0,26.0
10,activities,75.0,14.0
11,activity,12.0,3.0
12,actors,1.0,2.0
13,adaptation,5.0,143.0
14,address,4.0,3.0
15,advance,8.0,1.0
16,advice,6.0,5.0
17,agencies,3.0,4.0
18,agreement,18.0,179.0
19,ambition,23.0,1.0
20,amount,5.0,1.0
21,analysis,6.0,1.0
22,application,2.0,4.0
23,approach,38.0,7.0
24,approaches,1.0,8.0
25,appropriate,2.0,6.0
26,approval,1.0,1.0
27,april,1.0,3.0
28,areas,73.0,3.0
29,arrangements,1.0,7.0
30,article,5.0,116.0
31,aspects,8.0,1.0
32,aspirations,3.0,1.0
33,assessment,11.0,2.0
34,assistance,3.0,6.0
35,assumptions,2.0,10.0
36,availability,2.0,7.0
37,availability,1.0,7.0
38,avoid,3.0,2.0
39,awareness,9.0,2.0
40,balance,9.0,5.0
41,barriers,4.0,2.0
42,baseline,4.0,1.0
43,baselines,1.0,3.0
44,basis,34.0,12.0
45,bodies,2.0,22.0
46,body,1.0,12.0
47,building,18.0,1.0
48,capabilities,1.0,1.0
49,capability,8.0,2.0
50,capacity,11.0,9.0
51,carry,2.0,1.0
52,case,8.0,3.0
53,categories,3.0,7.0
54,centre,5.0,2.0
55,challenges,4.0,2.0
56,change,30.0,18.0
57,changes,14.0,4.0
58,channels,6.0,2.0
59,chapter,1.0,1.0
60,choice,2.0,1.0
61,circumstances,5.0,13.0
62,clarity,1.0,9.0
63,climate,42.0,31.0
64,collaboration,11.0,8.0
65,committee,16.0,38.0
66,communicate,1.0,1.0
67,communication,2.0,36.0
68,communications,2.0,32.0
69,communities,54.0,1.0
70,comparison,2.0,1.0
71,compliance,9.0,1.0
72,component,2.0,7.0
73,components,1.0,4.0
74,concern,5.0,1.0
75,concerns,14.0,1.0
76,conference,4.0,53.0
77,consensus,1.0,5.0
78,consequences,2.0,1.0
79,consideration,1.0,24.0
80,considers,2.0,3.0
81,constitutes,1.0,4.0
82,construction,1.0,1.0
83,consultation,1.0,1.0
84,contact,3.0,1.0
85,content,1.0,4.0
86,context,6.0,2.0
87,continue,1.0,1.0
88,contribute,6.0,1.0
89,contribution,10.0,32.0
90,contributions,5.0,50.0
91,conventions,3.0,1.0
92,countries,24.0,28.0
93,country,10.0,41.0
94,coverage,1.0,3.0
95,creation,1.0,1.0
96,criteria,8.0,1.0
97,data,34.0,5.0
98,date,2.0,3.0
99,days,3.0,2.0
100,december,4.0,16.0
101,decent,1.0,1.0
102,decision,3.0,103.0
103,decisions,2.0,11.0
104,definitions,2.0,2.0
105,developed,1.0,16.0
106,development,63.0,15.0
107,dialogue,2.0,1.0
108,differences,7.0,1.0
109,disaster,1.0,1.0
110,disturbances,1.0,2.0
111,document,7.0,5.0
112,documents,3.0,8.0
113,economic,4.0,1.0
114,economy,12.0,1.0
115,education,7.0,1.0
116,effectiveness,1.0,6.0
117,efficiency,12.0,1.0
118,effort,1.0,2.0
119,efforts,19.0,17.0
120,element,1.0,1.0
121,elements,3.0,6.0
122,emission,9.0,3.0
123,emissions,164.0,26.0
124,encourages,1.0,5.0
125,end,10.0,1.0
126,energy,237.0,2.0
127,enhance,2.0,6.0
128,entities,6.0,11.0
129,environment,32.0,3.0
130,environments,4.0,3.0
131,equity,11.0,2.0
132,event,11.0,2.0
133,events,31.0,2.0
134,example,34.0,2.0
135,executive,19.0,2.0
136,experience,12.0,4.0
137,experiences,1.0,1.0
138,expert,1.0,12.0
139,experts,10.0,6.0
140,facility,3.0,3.0
141,factors,5.0,1.0
142,features,1.0,3.0
143,february,6.0,2.0
144,fields,4.0,1.0
145,finance,2.0,19.0
146,financial,8.0,8.0
147,flexibility,2.0,2.0
148,following,1.0,1.0
149,footnote,1.0,1.0
150,forests,1.0,2.0
151,forum,1.0,12.0
152,framework,13.0,6.0
153,frameworks,2.0,6.0
154,functions,2.0,9.0
155,fund,8.0,10.0
156,further,2.0,11.0
157,gaps,3.0,2.0
158,gas,114.0,10.0
