,keyword,Frequency.24,Frequency
0,ability,6.0,1.0
1,acceptance,3.0,1.0
2,access,12.0,8.0
3,accordance,22.0,36.0
4,account,10.0,14.0
5,accounting,7.0,10.0
6,accuracy,2.0,2.0
7,achievement,15.0,1.0
8,action,135.0,15.0
9,actions,30.0,26.0
10,activities,130.0,14.0
11,activity,6.0,3.0
12,acts,2.0,1.0
13,adaptation,1.0,143.0
14,address,7.0,3.0
15,adoption,2.0,6.0
16,advance,3.0,1.0
17,advice,1.0,5.0
18,agencies,13.0,4.0
19,agreement,42.0,179.0
20,alia,1.0,9.0
21,ambition,2.0,1.0
22,amount,10.0,1.0
23,analysis,21.0,1.0
24,any,1.0,1.0
25,application,9.0,4.0
26,approach,108.0,7.0
27,approaches,43.0,8.0
28,approval,10.0,1.0
29,april,7.0,3.0
30,areas,94.0,3.0
31,arrangements,1.0,7.0
32,aspects,12.0,1.0
33,assessment,34.0,2.0
34,assist,2.0,1.0
35,assistance,5.0,6.0
36,attendance,1.0,1.0
37,availability,5.0,7.0
38,avoid,1.0,2.0
39,awareness,14.0,2.0
40,balance,5.0,5.0
41,barriers,7.0,2.0
42,basis,17.0,12.0
43,bodies,45.0,22.0
44,body,8.0,12.0
45,building,5.0,1.0
46,capabilities,9.0,1.0
47,capability,7.0,2.0
48,capacities,3.0,3.0
49,capacity,6.0,9.0
50,carry,3.0,1.0
51,case,15.0,3.0
52,categories,10.0,7.0
53,centre,51.0,2.0
54,chairs,1.0,2.0
55,challenges,7.0,2.0
56,change,31.0,18.0
57,changes,17.0,4.0
58,channels,3.0,2.0
59,chapter,6.0,1.0
60,circumstances,3.0,13.0
61,climate,179.0,31.0
62,columns,1.0,2.0
63,committee,25.0,38.0
64,communication,9.0,36.0
65,communications,9.0,32.0
66,communities,26.0,1.0
67,comparison,3.0,1.0
68,compliance,107.0,1.0
69,components,41.0,4.0
70,concerns,5.0,1.0
71,concrete,2.0,1.0
72,conference,20.0,53.0
73,confirm,2.0,1.0
74,consequences,5.0,1.0
75,consideration,1.0,24.0
76,construction,46.0,1.0
77,contact,6.0,1.0
78,contacts,2.0,1.0
79,content,9.0,4.0
80,contents,2.0,1.0
81,context,1.0,2.0
82,continue,1.0,1.0
83,contribute,3.0,1.0
84,contribution,15.0,32.0
85,contributions,10.0,50.0
86,convention,10.0,16.0
87,conventions,2.0,1.0
88,cooperation,52.0,3.0
89,countries,9.0,28.0
90,country,9.0,41.0
91,coverage,3.0,3.0
92,creation,9.0,1.0
93,criteria,10.0,1.0
94,data,62.0,5.0
95,date,1.0,3.0
96,days,7.0,2.0
97,december,23.0,16.0
98,decent,1.0,1.0
99,decision,3.0,103.0
100,decisions,8.0,11.0
101,definitions,2.0,2.0
102,deposit,4.0,1.0
103,description,1.0,2.0
104,developers,1.0,1.0
105,development,546.0,15.0
106,dialogue,6.0,1.0
107,disaster,1.0,1.0
108,diversification,1.0,8.0
109,document,5.0,5.0
110,documents,32.0,8.0
111,domestic,2.0,1.0
112,download,1.0,1.0
113,draft,7.0,6.0
114,economic,132.0,1.0
115,economy,6.0,1.0
116,education,42.0,1.0
117,effectiveness,7.0,6.0
118,effects,2.0,5.0
119,efficiency,81.0,1.0
120,effort,4.0,2.0
121,efforts,31.0,17.0
122,element,3.0,1.0
123,elements,5.0,6.0
124,emission,2.0,3.0
125,emissions,126.0,26.0
126,end,13.0,1.0
127,energy,220.0,2.0
128,enhance,3.0,6.0
129,enhanced,1.0,1.0
130,entities,10.0,11.0
131,environment,84.0,3.0
132,environments,1.0,3.0
133,equity,3.0,2.0
134,estimate,1.0,1.0
135,estimation,1.0,1.0
136,evaluation,34.0,1.0
137,event,29.0,2.0
138,events,43.0,2.0
139,example,7.0,2.0
140,exchange,10.0,3.0
141,executive,25.0,2.0
142,experience,17.0,4.0
143,experiences,1.0,1.0
144,expert,1.0,12.0
145,experts,19.0,6.0
146,explanation,28.0,2.0
147,facilitate,1.0,7.0
148,facility,13.0,3.0
149,factors,7.0,1.0
150,features,1.0,3.0
151,february,2.0,2.0
152,fields,17.0,1.0
153,finance,1.0,19.0
154,financial,17.0,8.0
155,flows,1.0,1.0
156,following,4.0,1.0
157,forestry,6.0,1.0
158,forests,3.0,2.0
159,format,3.0,2.0
160,forum,10.0,12.0
161,framework,62.0,6.0
162,functions,23.0,9.0
163,fund,8.0,10.0
164,gaps,2.0,2.0
165,gas,239.0,10.0
166,gases,5.0,1.0
167,general,16.0,1.0
168,geography,3.0,2.0
169,global,26.0,4.0
170,goal,12.0,3.0
171,goals,81.0,4.0
172,good,3.0,1.0
173,green,10.0,2.0
174,greenhouse,17.0,10.0
175,group,248.0,16.0
176,groups,10.0,4.0
177,growth,26.0,1.0
178,guidance,9.0,38.0
179,guide,2.0,2.0
180,guidelines,8.0,7.0
181,has,2.0,2.0
182,help,11.0,1.0
183,ideas,1.0,1.0
184,identification,6.0,3.0
185,impact,45.0,7.0
186,impacts,30.0,14.0
187,implementation,54.0,54.0
188,implications,1.0,7.0
189,importance,8.0,5.0
190,incentives,2.0,1.0
191,include,2.0,4.0
192,inclusion,3.0,1.0
193,increase,29.0,3.0
194,indication,2.0,1.0
195,indicator,12.0,1.0
196,indicators,59.0,3.0
197,industry,76.0,1.0
198,inform,1.0,2.0
199,information,71.0,82.0
200,informs,1.0,1.0
201,initiatives,41.0,1.0
202,institutions,35.0,6.0
203,instruments,3.0,7.0
204,integrate,2.0,1.0
205,integration,4.0,1.0
206,integrity,28.0,2.0
207,interaction,20.0,1.0
208,internet,6.0,4.0
209,interventions,2.0,2.0
210,inventories,1.0,1.0
211,inventory,6.0,4.0
212,investments,32.0,1.0
213,island,1.0,1.0
214,issue,1.0,1.0
215,issues,38.0,1.0
216,jobs,10.0,1.0
217,june,9.0,9.0
218,knowledge,10.0,5.0
219,lands,6.0,2.0
220,language,3.0,2.0
221,languages,2.0,2.0
222,lessons,6.0,6.0
223,level,26.0,2.0
224,levels,19.0,7.0
225,limit,5.0,1.0
226,limitations,2.0,1.0
227,line,32.0,11.0
228,maintains,1.0,1.0
229,maintenance,5.0,1.0
230,manage,5.0,2.0
231,management,533.0,2.0
232,manner,4.0,2.0
233,march,5.0,1.0
234,matter,3.0,5.0
235,matters,16.0,28.0
236,measures,46.0,24.0
237,mechanism,3.0,8.0
238,meeting,16.0,51.0
239,meetings,25.0,3.0
240,member,11.0,4.0
241,members,16.0,11.0
242,methodologies,2.0,26.0
243,methodology,19.0,1.0
244,methods,9.0,2.0
245,metrics,9.0,6.0
246,mining,2.0,1.0
247,mitigation,3.0,20.0
248,mobilization,1.0,2.0
249,model,11.0,1.0
250,modelling,11.0,1.0
251,models,6.0,1.0
252,monitoring,32.0,1.0
253,move,1.0,1.0
254,name,22.0,1.0
255,national,17.0,3.0
256,nations,10.0,7.0
257,nature,14.0,2.0
258,navigation,1.0,2.0
259,need,2.0,2.0
260,needs,9.0,15.0
261,network,18.0,2.0
262,notes,5.0,8.0
263,november,7.0,7.0
264,number,100.0,3.0
265,obligations,2.0,1.0
266,office,23.0,2.0
267,official,7.0,2.0
268,operation,51.0,15.0
269,opportunities,30.0,1.0
270,options,1.0,3.0
271,order,13.0,6.0
272,organization,1.0,1.0
273,organizations,4.0,14.0
274,outcome,1.0,1.0
275,outcomes,1.0,1.0
276,page,20.0,2.0
277,panel,2.0,7.0
278,paper,1.0,1.0
279,parameters,7.0,1.0
280,paris,9.0,180.0
281,part,141.0,9.0
282,participation,26.0,2.0
283,parties,32.0,231.0
284,partner,15.0,2.0
285,parts,2.0,2.0
286,party,3.0,34.0
287,peoples,20.0,2.0
288,percentage,15.0,1.0
289,period,42.0,3.0
290,periods,4.0,2.0
291,plan,20.0,4.0
292,planning,14.0,4.0
293,plans,18.0,16.0
294,platform,13.0,3.0
295,point,2.0,12.0
296,points,10.0,2.0
297,policies,16.0,5.0
298,policy,82.0,4.0
299,position,16.0,1.0
300,practices,43.0,9.0
301,predictability,1.0,1.0
302,predictions,1.0,1.0
303,preparation,8.0,5.0
304,prepare,2.0,4.0
305,president,17.0,1.0
306,principle,35.0,1.0
307,priorities,21.0,7.0
308,priority,15.0,1.0
309,procedures,32.0,18.0
310,process,70.0,3.0
311,processes,34.0,3.0
312,products,59.0,2.0
313,programme,164.0,15.0
314,programmes,68.0,3.0
315,progress,18.0,7.0
316,project,59.0,1.0
317,projections,6.0,2.0
318,projects,97.0,2.0
319,promote,3.0,2.0
320,proposal,2.0,1.0
321,proposals,6.0,1.0
322,protocol,2.0,7.0
323,prototype,3.0,2.0
324,provide,8.0,8.0
325,providers,6.0,2.0
326,provides,1.0,6.0
327,provision,6.0,6.0
328,provisions,5.0,5.0
329,public,7.0,1.0
330,purpose,3.0,1.0
331,purposes,5.0,1.0
332,qualifications,4.0,1.0
333,quality,47.0,1.0
334,ratification,1.0,1.0
335,recognition,3.0,3.0
336,recommendations,18.0,8.0
337,record,2.0,4.0
338,reduction,34.0,4.0
339,reference,5.0,13.0
340,regions,83.0,1.0
341,relation,1.0,12.0
342,relationship,9.0,2.0
343,removals,1.0,24.0
344,report,267.0,14.0
345,reports,23.0,10.0
346,representation,1.0,1.0
347,request,2.0,1.0
348,requests,2.0,29.0
349,resilience,6.0,2.0
350,resources,65.0,26.0
351,respect,6.0,1.0
352,respond,5.0,1.0
353,response,68.0,23.0
354,responses,2.0,1.0
355,responsibilities,1.0,1.0
356,result,15.0,1.0
357,results,26.0,1.0
358,review,11.0,4.0
359,risk,196.0,1.0
360,risks,89.0,1.0
361,row,3.0,2.0
362,scientific,12.0,5.0
363,scope,17.0,4.0
364,second,1.0,1.0
365,section,66.0,5.0
366,sections,6.0,1.0
367,sector,8.0,1.0
368,sector,8.0,2.0
369,security,34.0,2.0
370,services,73.0,1.0
371,session,6.0,28.0
372,sessions,8.0,9.0
373,settlements,4.0,1.0
374,share,24.0,1.0
375,source,4.0,3.0
376,sources,23.0,5.0
377,specific,1.0,2.0
378,stakeholders,33.0,8.0
379,state,35.0,1.0
380,status,7.0,2.0
381,steps,23.0,2.0
382,stock,5.0,1.0
383,strategies,6.0,8.0
384,structure,12.0,2.0
385,studies,12.0,3.0
386,submission,1.0,9.0
387,submissions,1.0,6.0
388,subsidiary,25.0,30.0
389,support,92.0,44.0
390,synthesis,1.0,5.0
391,system,118.0,1.0
392,systems,29.0,4.0
393,takes,1.0,8.0
394,target,18.0,3.0
395,targets,26.0,3.0
396,technological,8.0,5.0
397,technology,39.0,8.0
398,temperature,8.0,1.0
399,term,4.0,2.0
400,terms,17.0,4.0
401,themes,1.0,2.0
402,time,23.0,12.0
403,tools,6.0,5.0
404,towards,14.0,3.0
405,track,1.0,1.0
406,transfer,4.0,2.0
407,transformation,129.0,1.0
408,transition,6.0,2.0
409,transmission,2.0,1.0
410,transparency,15.0,12.0
411,transport,13.0,1.0
412,type,12.0,2.0
413,types,6.0,2.0
414,united,10.0,7.0
415,updates,2.0,2.0
416,use,34.0,8.0
417,users,2.0,5.0
418,values,7.0,2.0
419,variety,4.0,1.0
420,vehicle,8.0,1.0
421,version,5.0,3.0
422,view,3.0,10.0
423,views,2.0,7.0
424,visibility,1.0,1.0
425,water,159.0,1.0
426,way,5.0,1.0
427,ways,3.0,2.0
428,work,49.0,33.0
429,workforce,7.0,1.0
430,working,8.0,3.0
431,workshop,3.0,1.0
432,workshops,4.0,5.0
433,world,22.0,1.0
434,year,85.0,10.0
435,years,21.0,3.0
