,keyword,Frequency.23,Frequency
0,access,6.0,8.0
1,accordance,19.0,36.0
2,account,9.0,14.0
3,accounting,2.0,10.0
4,achievement,1.0,1.0
5,act,3.0,2.0
6,action,18.0,15.0
7,actions,10.0,26.0
8,activities,94.0,14.0
9,activity,7.0,3.0
10,addendum,1.0,1.0
11,address,5.0,3.0
12,adoption,6.0,6.0
13,adopts,1.0,2.0
14,advance,2.0,1.0
15,advice,1.0,5.0
16,agencies,6.0,4.0
17,agreement,29.0,179.0
18,ambition,1.0,1.0
19,amount,14.0,1.0
20,analysis,15.0,1.0
21,annex,21.0,13.0
22,application,3.0,4.0
23,approach,21.0,7.0
24,approaches,9.0,8.0
25,approval,14.0,1.0
26,april,9.0,3.0
27,areas,58.0,3.0
28,arrangements,1.0,7.0
29,articles,1.0,5.0
30,assessment,16.0,2.0
31,assistance,7.0,6.0
32,availability,3.0,7.0
33,awareness,14.0,2.0
34,balance,1.0,5.0
35,basis,17.0,12.0
36,beginning,1.0,1.0
37,bodies,13.0,22.0
38,body,4.0,12.0
39,building,14.0,1.0
40,capabilities,14.0,1.0
41,capacity,12.0,9.0
42,case,5.0,3.0
43,categories,8.0,7.0
44,challenges,7.0,2.0
45,change,9.0,18.0
46,changes,14.0,4.0
47,channels,3.0,2.0
48,check,2.0,1.0
49,choice,1.0,1.0
50,circumstances,2.0,13.0
51,climate,6.0,31.0
52,collaboration,9.0,8.0
53,committee,19.0,38.0
54,communication,3.0,36.0
55,communications,4.0,32.0
56,communities,26.0,1.0
57,comparison,2.0,1.0
58,completeness,1.0,1.0
59,compliance,44.0,1.0
60,components,4.0,4.0
61,concern,1.0,1.0
62,concerns,3.0,1.0
63,concrete,1.0,1.0
64,conference,7.0,53.0
65,consideration,3.0,24.0
66,construction,45.0,1.0
67,contact,7.0,1.0
68,contacts,2.0,1.0
69,content,7.0,4.0
70,contents,2.0,1.0
71,context,3.0,2.0
72,continue,4.0,1.0
73,contribute,3.0,1.0
74,contribution,7.0,32.0
75,contributions,5.0,50.0
76,convention,3.0,16.0
77,cooperation,46.0,3.0
78,countries,11.0,28.0
79,country,5.0,41.0
80,coverage,3.0,3.0
81,creation,9.0,1.0
82,criteria,11.0,1.0
83,data,51.0,5.0
84,data,2.0,5.0
85,date,2.0,3.0
86,days,6.0,2.0
87,december,14.0,16.0
88,decision,6.0,103.0
89,decisions,7.0,11.0
90,deposit,4.0,1.0
91,description,3.0,2.0
92,development,1.0,15.0
93,development,109.0,15.0
94,disaster,2.0,1.0
95,document,10.0,5.0
96,documents,12.0,8.0
97,draft,6.0,6.0
98,economic,23.0,1.0
99,economy,3.0,1.0
100,education,44.0,1.0
101,effectiveness,2.0,6.0
102,effects,1.0,5.0
103,efficiency,49.0,1.0
104,effort,11.0,2.0
105,efforts,33.0,17.0
106,element,7.0,1.0
107,elements,5.0,6.0
108,emission,2.0,3.0
109,emissions,1.0,26.0
110,emissions,62.0,26.0
111,end,17.0,1.0
112,energy,99.0,2.0
113,enhance,3.0,6.0
114,enhanced,1.0,1.0
115,entities,93.0,11.0
116,environment,1.0,3.0
117,environment,89.0,3.0
118,environments,2.0,3.0
119,equity,3.0,2.0
120,estimate,1.0,1.0
121,estimation,2.0,1.0
122,evaluation,15.0,1.0
123,event,10.0,2.0
124,events,23.0,2.0
125,example,3.0,2.0
126,examples,1.0,2.0
127,exchange,6.0,3.0
128,executive,18.0,2.0
129,experience,11.0,4.0
130,expert,4.0,12.0
131,experts,9.0,6.0
132,explanation,1.0,2.0
133,facilitate,1.0,7.0
134,facilitating,1.0,1.0
135,facility,8.0,3.0
136,factors,9.0,1.0
137,features,1.0,3.0
138,february,2.0,2.0
139,fields,27.0,1.0
140,finance,4.0,19.0
141,financial,6.0,8.0
142,flexibility,1.0,2.0
143,flows,2.0,1.0
144,following,4.0,1.0
145,forests,1.0,2.0
146,format,1.0,2.0
147,formulate,1.0,2.0
148,forum,15.0,12.0
149,framework,32.0,6.0
150,functions,8.0,9.0
151,fund,8.0,10.0
152,gas,220.0,10.0
153,gases,1.0,1.0
154,general,15.0,1.0
155,global,16.0,4.0
156,goals,17.0,4.0
157,greenhouse,25.0,10.0
158,group,192.0,16.0
159,groups,17.0,4.0
160,growth,22.0,1.0
161,guidance,13.0,38.0
162,guidelines,14.0,7.0
163,help,6.0,1.0
164,ideas,3.0,1.0
165,identification,1.0,3.0
166,impact,32.0,7.0
167,impacts,16.0,14.0
168,implementation,22.0,54.0
169,implications,1.0,7.0
170,importance,5.0,5.0
171,incentives,6.0,1.0
172,include,1.0,4.0
173,increase,17.0,3.0
174,indicator,15.0,1.0
175,indicators,49.0,3.0
176,industry,42.0,1.0
177,information,72.0,82.0
178,information,1.0,82.0
179,information,1.0,82.0
180,initiatives,32.0,1.0
181,input,3.0,2.0
182,institutions,30.0,6.0
183,integration,5.0,1.0
184,integrity,11.0,2.0
185,inventories,1.0,1.0
186,inventory,2.0,4.0
187,investments,13.0,1.0
188,island,6.0,1.0
189,issues,14.0,1.0
190,jobs,9.0,1.0
191,june,8.0,9.0
192,knowledge,7.0,5.0
193,lands,3.0,2.0
194,least,1.0,15.0
195,lessons,4.0,6.0
196,level,28.0,2.0
197,levels,9.0,7.0
198,line,19.0,11.0
199,links,1.0,1.0
200,maintains,1.0,1.0
201,maintenance,16.0,1.0
202,manage,3.0,2.0
203,management,227.0,2.0
204,mandate,1.0,2.0
205,manner,3.0,2.0
206,march,5.0,1.0
207,matter,2.0,5.0
208,matters,11.0,28.0
209,measures,25.0,24.0
210,mechanism,2.0,8.0
211,meeting,13.0,51.0
212,meetings,21.0,3.0
213,member,9.0,4.0
214,members,24.0,11.0
215,methodologies,5.0,26.0
216,methodology,17.0,1.0
217,methods,3.0,2.0
218,metrics,2.0,6.0
219,minimize,2.0,1.0
220,mining,1.0,1.0
221,mitigation,1.0,20.0
222,model,15.0,1.0
223,models,3.0,1.0
224,monitoring,19.0,1.0
225,move,1.0,1.0
226,name,19.0,1.0
227,national,14.0,3.0
228,nations,5.0,7.0
229,nature,15.0,2.0
230,needs,10.0,15.0
231,network,6.0,2.0
232,note,3.0,8.0
233,november,7.0,7.0
234,number,79.0,3.0
235,obligations,10.0,1.0
236,office,7.0,2.0
237,official,1.0,2.0
238,operation,20.0,15.0
239,opportunities,6.0,1.0
240,options,1.0,3.0
241,order,19.0,6.0
242,organization,17.0,1.0
243,organizations,16.0,14.0
244,outcomes,1.0,1.0
245,outputs,2.0,1.0
246,page,16.0,2.0
247,panel,4.0,7.0
248,paper,1.0,1.0
249,papers,1.0,1.0
250,parameters,4.0,1.0
251,paris,1.0,180.0
252,part,90.0,9.0
253,participation,11.0,2.0
254,parties,15.0,231.0
255,partner,16.0,2.0
256,parts,1.0,2.0
257,party,2.0,34.0
258,peoples,30.0,2.0
259,percentage,9.0,1.0
260,period,55.0,3.0
261,periods,5.0,2.0
262,plan,16.0,4.0
263,planning,7.0,4.0
264,plans,20.0,16.0
265,platform,7.0,3.0
266,point,3.0,12.0
267,policies,15.0,5.0
268,policy,41.0,4.0
269,portal,1.0,2.0
270,position,6.0,1.0
271,practices,33.0,9.0
272,preparation,7.0,5.0
273,prepare,3.0,4.0
274,president,12.0,1.0
275,principle,43.0,1.0
276,priorities,13.0,7.0
277,priority,19.0,1.0
278,procedures,24.0,18.0
279,process,70.0,3.0
280,processes,14.0,3.0
281,products,32.0,2.0
282,progress,27.0,7.0
283,project,79.0,1.0
284,projects,95.0,2.0
285,promote,9.0,2.0
286,proposals,2.0,1.0
287,protocol,1.0,7.0
288,providers,5.0,2.0
289,provisions,4.0,5.0
290,public,9.0,1.0
291,purposes,13.0,1.0
292,pursuant,5.0,1.0
293,qualifications,6.0,1.0
294,quality,22.0,1.0
295,ratification,1.0,1.0
296,recognition,4.0,3.0
297,recognize,3.0,1.0
298,recommendations,8.0,8.0
299,record,8.0,4.0
300,reduction,9.0,4.0
301,reference,9.0,13.0
302,regions,51.0,1.0
303,relevant,3.0,1.0
304,report,183.0,14.0
305,report,1.0,14.0
306,reports,28.0,10.0
307,representation,1.0,1.0
308,request,1.0,1.0
309,requests,4.0,29.0
310,resources,66.0,26.0
311,respect,3.0,1.0
312,respond,1.0,1.0
313,response,38.0,23.0
314,responses,1.0,1.0
315,responsibilities,6.0,1.0
316,result,14.0,1.0
317,results,17.0,1.0
318,review,4.0,4.0
319,risk,56.0,1.0
320,risks,35.0,1.0
321,roles,1.0,2.0
