,keyword,Frequency.15,Frequency
0,ability,3.0,1.0
1,academia,1.0,1.0
2,acceptance,1.0,1.0
3,access,50.0,8.0
4,accessibility,2.0,1.0
5,accordance,6.0,36.0
6,account,4.0,14.0
7,accounting,3.0,10.0
8,accuracy,2.0,2.0
9,act,3.0,2.0
10,action,17.0,15.0
11,actions,7.0,26.0
12,activities,48.0,14.0
13,activity,5.0,3.0
14,acts,1.0,1.0
15,address,8.0,3.0
16,advance,5.0,1.0
17,agencies,4.0,4.0
18,agreement,31.0,179.0
19,agriculture,1.0,2.0
20,ambition,39.0,1.0
21,amount,10.0,1.0
22,analysis,1.0,1.0
23,any,1.0,1.0
24,application,2.0,4.0
25,approach,57.0,7.0
26,approaches,4.0,8.0
27,appropriate,2.0,6.0
28,approval,3.0,1.0
29,april,3.0,3.0
30,areas,45.0,3.0
31,arrangements,1.0,7.0
32,aspects,5.0,1.0
33,aspirations,2.0,1.0
34,assessment,8.0,2.0
35,assist,1.0,1.0
36,assumptions,3.0,10.0
37,availability,10.0,7.0
38,avoid,2.0,2.0
39,avoidance,1.0,2.0
40,avoids,1.0,2.0
41,awareness,4.0,2.0
42,balance,9.0,5.0
43,barriers,6.0,2.0
44,baseline,4.0,1.0
45,basis,11.0,12.0
46,beneficiaries,1.0,1.0
47,bodies,3.0,22.0
48,body,4.0,12.0
49,building,8.0,1.0
50,capabilities,3.0,1.0
51,capability,5.0,2.0
52,capacities,1.0,3.0
53,capacity,16.0,9.0
54,carry,1.0,1.0
55,case,18.0,3.0
56,categories,1.0,7.0
57,centre,9.0,2.0
58,challenges,21.0,2.0
59,change,41.0,18.0
60,changes,17.0,4.0
61,channels,4.0,2.0
62,chapter,5.0,1.0
63,check,2.0,1.0
64,choice,1.0,1.0
65,clarity,1.0,9.0
66,climate,50.0,31.0
67,collaboration,10.0,8.0
68,committee,24.0,38.0
69,common,3.0,2.0
70,communication,2.0,36.0
71,communications,1.0,32.0
72,communities,86.0,1.0
73,comparison,1.0,1.0
74,completeness,1.0,1.0
75,compliance,15.0,1.0
76,component,2.0,7.0
77,components,1.0,4.0
78,concern,2.0,1.0
79,concerns,12.0,1.0
80,concrete,1.0,1.0
81,conference,3.0,53.0
82,confirm,2.0,1.0
83,connections,3.0,2.0
84,consensus,1.0,5.0
85,consideration,2.0,24.0
86,considerations,6.0,2.0
87,considers,1.0,3.0
88,consistency,1.0,6.0
89,constraints,2.0,2.0
90,construction,9.0,1.0
91,consultation,3.0,1.0
92,contact,1.0,1.0
93,content,10.0,4.0
94,contents,1.0,1.0
95,context,3.0,2.0
96,continue,8.0,1.0
97,contribute,5.0,1.0
98,contributes,1.0,4.0
99,contribution,38.0,32.0
100,contributions,2.0,50.0
101,conventions,3.0,1.0
102,countries,47.0,28.0
103,country,19.0,41.0
104,coverage,3.0,3.0
105,creation,3.0,1.0
106,criteria,3.0,1.0
107,data,74.0,5.0
108,date,4.0,3.0
109,days,4.0,2.0
110,december,5.0,16.0
111,decent,2.0,1.0
112,decision,5.0,103.0
113,decisions,6.0,11.0
114,definitions,3.0,2.0
115,developers,2.0,1.0
116,development,102.0,15.0
117,dialogue,6.0,1.0
118,disaster,2.0,1.0
119,documents,1.0,8.0
120,domestic,1.0,1.0
121,download,1.0,1.0
122,economic,6.0,1.0
123,economy,12.0,1.0
124,education,23.0,1.0
125,effectiveness,5.0,6.0
126,effects,1.0,5.0
127,efficiency,24.0,1.0
128,effort,3.0,2.0
129,efforts,21.0,17.0
130,element,2.0,1.0
131,elements,1.0,6.0
132,emission,7.0,3.0
133,emissions,181.0,26.0
134,encourages,1.0,5.0
135,end,10.0,1.0
136,energy,346.0,2.0
137,enhance,8.0,6.0
138,entities,8.0,11.0
139,environment,65.0,3.0
140,environments,2.0,3.0
141,equity,4.0,2.0
142,estimate,1.0,1.0
143,evaluation,2.0,1.0
144,event,2.0,2.0
145,events,23.0,2.0
146,example,59.0,2.0
147,examples,2.0,2.0
148,exchange,3.0,3.0
149,executive,17.0,2.0
150,experience,8.0,4.0
151,experiences,1.0,1.0
152,expert,1.0,12.0
153,experts,3.0,6.0
154,explanation,1.0,2.0
155,facilitate,1.0,7.0
156,facility,23.0,3.0
157,factors,11.0,1.0
158,february,2.0,2.0
159,fields,5.0,1.0
160,file,2.0,1.0
161,finance,8.0,19.0
162,financial,5.0,8.0
163,flexibility,1.0,2.0
164,forests,5.0,2.0
165,forum,4.0,12.0
166,frames,1.0,7.0
167,framework,26.0,6.0
168,frameworks,2.0,6.0
169,fund,17.0,10.0
170,further,1.0,11.0
171,gaps,3.0,2.0
172,gas,293.0,10.0
173,gases,5.0,1.0
174,general,9.0,1.0
175,global,11.0,4.0
176,goal,33.0,3.0
177,goals,32.0,4.0
178,green,1.0,2.0
179,greenhouse,61.0,10.0
180,group,17.0,16.0
181,groups,7.0,4.0
182,growth,19.0,1.0
183,guidance,2.0,38.0
184,guide,1.0,2.0
185,guidelines,8.0,7.0
186,help,34.0,1.0
187,ideas,5.0,1.0
188,identification,1.0,3.0
189,impact,35.0,7.0
190,impacts,16.0,14.0
191,implementation,14.0,54.0
192,importance,5.0,5.0
193,incentives,2.0,1.0
194,include,3.0,4.0
195,inclusion,9.0,1.0
196,increase,15.0,3.0
197,indicators,2.0,3.0
198,industry,70.0,1.0
199,inform,3.0,2.0
200,information,35.0,82.0
201,initiatives,6.0,1.0
202,input,3.0,2.0
203,institutions,3.0,6.0
204,integration,2.0,1.0
205,integrity,8.0,2.0
206,intention,1.0,1.0
207,intergovernmental,3.0,7.0
208,inventory,1.0,4.0
209,investments,12.0,1.0
210,ipcc,5.0,10.0
211,island,1.0,1.0
212,issue,2.0,1.0
213,issues,22.0,1.0
214,jobs,8.0,1.0
215,june,1.0,9.0
216,knowledge,8.0,5.0
217,language,2.0,2.0
218,languages,1.0,2.0
219,lessons,4.0,6.0
220,level,13.0,2.0
221,levels,20.0,7.0
222,limit,4.0,1.0
223,limitation,1.0,1.0
224,limitations,3.0,1.0
225,line,27.0,11.0
226,links,4.0,1.0
227,look,1.0,1.0
228,maintenance,11.0,1.0
229,manage,18.0,2.0
230,management,61.0,2.0
231,mandate,1.0,2.0
232,manner,5.0,2.0
233,march,5.0,1.0
234,measures,12.0,24.0
235,mechanism,3.0,8.0
236,meeting,5.0,51.0
237,meetings,5.0,3.0
238,member,14.0,4.0
239,members,14.0,11.0
240,methodologies,1.0,26.0
241,methodology,7.0,1.0
242,methods,5.0,2.0
243,metrics,7.0,6.0
244,mining,1.0,1.0
245,mitigation,4.0,20.0
246,model,6.0,1.0
247,modelling,1.0,1.0
248,models,4.0,1.0
249,monitoring,7.0,1.0
250,move,2.0,1.0
251,national,7.0,3.0
252,nations,9.0,7.0
253,nature,9.0,2.0
254,navigation,2.0,2.0
255,need,3.0,2.0
256,needs,10.0,15.0
257,network,10.0,2.0
258,note,5.0,8.0
259,november,7.0,7.0
260,number,42.0,3.0
261,office,1.0,2.0
262,operation,14.0,15.0
263,opportunities,28.0,1.0
264,options,5.0,3.0
265,order,1.0,6.0
266,organization,4.0,1.0
267,outcomes,4.0,1.0
268,page,6.0,2.0
269,panel,23.0,7.0
270,paper,2.0,1.0
271,parameters,1.0,1.0
272,paris,24.0,180.0
273,part,55.0,9.0
274,participation,1.0,2.0
275,parties,8.0,231.0
276,partner,7.0,2.0
277,parts,10.0,2.0
278,party,2.0,34.0
279,peoples,8.0,2.0
280,percentage,4.0,1.0
281,period,4.0,3.0
282,plan,16.0,4.0
283,plans,20.0,16.0
284,platform,4.0,3.0
285,point,4.0,12.0
286,points,9.0,2.0
287,policies,8.0,5.0
288,policy,12.0,4.0
289,position,7.0,1.0
290,poverty,2.0,2.0
291,practices,11.0,9.0
292,predictions,1.0,1.0
293,preparation,4.0,5.0
294,prepare,1.0,4.0
295,priorities,14.0,7.0
296,priority,6.0,1.0
297,procedures,6.0,18.0
298,process,56.0,3.0
299,processes,9.0,3.0
300,products,85.0,2.0
301,programme,53.0,15.0
302,programmes,27.0,3.0
303,progress,16.0,7.0
304,project,96.0,1.0
305,projections,1.0,2.0
306,projects,78.0,2.0
307,promote,3.0,2.0
308,proposal,1.0,1.0
309,protocol,4.0,7.0
310,prototype,1.0,2.0
311,provide,14.0,8.0
312,providers,2.0,2.0
313,public,2.0,1.0
314,purpose,2.0,1.0
315,qualifications,1.0,1.0
316,quality,22.0,1.0
317,recommendations,13.0,8.0
318,record,1.0,4.0
319,reduction,20.0,4.0
320,regions,6.0,1.0
321,relation,2.0,12.0
322,relationship,4.0,2.0
323,relevant,1.0,1.0
324,report,186.0,14.0
325,reports,6.0,10.0
326,representation,1.0,1.0
327,request,1.0,1.0
328,resilience,6.0,2.0
329,resources,20.0,26.0
330,respect,5.0,1.0
331,respond,9.0,1.0
332,response,24.0,23.0
333,responses,2.0,1.0
334,responsibilities,5.0,1.0
335,responsiveness,1.0,1.0
336,result,6.0,1.0
337,results,11.0,1.0
338,review,19.0,4.0
339,revise,1.0,1.0
340,risk,22.0,1.0
341,risks,42.0,1.0
342,roles,6.0,2.0
343,scope,6.0,4.0
344,second,1.0,1.0
345,section,5.0,5.0
346,sections,5.0,1.0
347,sector,11.0,1.0
348,sector,11.0,2.0
349,sectors,7.0,4.0
350,security,44.0,2.0
351,services,27.0,1.0
352,sessions,4.0,9.0
353,share,24.0,1.0
354,source,13.0,3.0
355,sources,18.0,5.0
356,special,4.0,3.0
357,stakeholders,18.0,8.0
358,standing,1.0,6.0
