,keyword,Frequency.20,Frequency
0,ability,6.0,1.0
1,academia,2.0,1.0
2,access,5.0,8.0
3,accordance,7.0,36.0
4,account,1.0,14.0
5,accuracy,1.0,2.0
6,action,10.0,15.0
7,actions,27.0,26.0
8,activities,53.0,14.0
9,activity,7.0,3.0
10,actors,1.0,2.0
11,adaptation,1.0,143.0
12,address,2.0,3.0
13,adoption,2.0,6.0
14,advance,1.0,1.0
15,advice,2.0,5.0
16,agencies,2.0,4.0
17,agreement,10.0,179.0
18,ambition,17.0,1.0
19,amount,4.0,1.0
20,analysis,10.0,1.0
21,approach,26.0,7.0
22,approaches,1.0,8.0
23,april,2.0,3.0
24,areas,50.0,3.0
25,arrangements,2.0,7.0
26,aspects,10.0,1.0
27,assessment,6.0,2.0
28,assumptions,9.0,10.0
29,availability,2.0,7.0
30,awareness,6.0,2.0
31,balance,3.0,5.0
32,barriers,2.0,2.0
33,baseline,9.0,1.0
34,basis,30.0,12.0
35,bodies,1.0,22.0
36,building,5.0,1.0
37,capabilities,3.0,1.0
38,capability,3.0,2.0
39,capacity,19.0,9.0
40,case,2.0,3.0
41,categories,1.0,7.0
42,centre,4.0,2.0
43,challenges,6.0,2.0
44,change,27.0,18.0
45,changes,8.0,4.0
46,channels,2.0,2.0
47,chapter,4.0,1.0
48,choice,1.0,1.0
49,circumstances,2.0,13.0
50,climate,60.0,31.0
51,collaboration,20.0,8.0
52,committee,22.0,38.0
53,communicate,1.0,1.0
54,communication,3.0,36.0
55,communities,11.0,1.0
56,comparison,1.0,1.0
57,compliance,14.0,1.0
58,components,1.0,4.0
59,concern,3.0,1.0
60,concerns,13.0,1.0
61,concrete,1.0,1.0
62,conference,1.0,53.0
63,confirm,3.0,1.0
64,confirmation,1.0,1.0
65,confirms,1.0,3.0
66,conjunction,1.0,11.0
67,consequences,1.0,1.0
68,consideration,1.0,24.0
69,considerations,4.0,2.0
70,consistency,2.0,6.0
71,construction,8.0,1.0
72,consultation,1.0,1.0
73,contain,1.0,1.0
74,content,2.0,4.0
75,contents,1.0,1.0
76,context,7.0,2.0
77,continue,2.0,1.0
78,contribute,2.0,1.0
79,contributes,1.0,4.0
80,contribution,4.0,32.0
81,contributions,5.0,50.0
82,cooperation,3.0,3.0
83,countries,14.0,28.0
84,country,5.0,41.0
85,creation,10.0,1.0
86,criteria,6.0,1.0
87,data,40.0,5.0
88,date,1.0,3.0
89,days,1.0,2.0
90,december,2.0,16.0
91,decision,6.0,103.0
92,decisions,5.0,11.0
93,definitions,1.0,2.0
94,description,1.0,2.0
95,developed,2.0,16.0
96,development,65.0,15.0
97,dialogue,8.0,1.0
98,disaster,1.0,1.0
99,document,2.0,5.0
100,documents,1.0,8.0
101,draft,1.0,6.0
102,economic,4.0,1.0
103,economy,1.0,1.0
104,education,7.0,1.0
105,effectiveness,2.0,6.0
106,effects,13.0,5.0
107,efficiency,24.0,1.0
108,efficiency,1.0,1.0
109,efforts,24.0,17.0
110,element,1.0,1.0
111,elements,2.0,6.0
112,emission,19.0,3.0
113,emissions,92.0,26.0
114,end,3.0,1.0
115,energy,122.0,2.0
116,enhance,3.0,6.0
117,enhanced,1.0,1.0
118,entities,3.0,11.0
119,environment,31.0,3.0
120,environments,4.0,3.0
121,equity,22.0,2.0
122,evaluation,1.0,1.0
123,event,5.0,2.0
124,events,7.0,2.0
125,example,5.0,2.0
126,examples,2.0,2.0
127,exchange,2.0,3.0
128,executive,12.0,2.0
129,experience,5.0,4.0
130,experts,2.0,6.0
131,facility,1.0,3.0
132,factors,12.0,1.0
133,features,1.0,3.0
134,february,2.0,2.0
135,fields,14.0,1.0
136,financial,5.0,8.0
137,fisheries,3.0,1.0
138,flexibility,1.0,2.0
139,forests,2.0,2.0
140,forum,1.0,12.0
141,framework,7.0,6.0
142,functions,2.0,9.0
143,fund,3.0,10.0
144,further,1.0,11.0
145,gaps,3.0,2.0
146,gas,95.0,10.0
147,gases,1.0,1.0
148,general,2.0,1.0
149,global,16.0,4.0
150,goal,3.0,3.0
151,goals,14.0,4.0
152,greenhouse,14.0,10.0
153,group,21.0,16.0
154,groups,7.0,4.0
155,growth,15.0,1.0
156,guidance,2.0,38.0
157,guide,1.0,2.0
158,guidelines,3.0,7.0
159,help,4.0,1.0
160,ideas,1.0,1.0
161,identification,4.0,3.0
162,impact,20.0,7.0
163,impact,2.0,7.0
164,impacts,12.0,14.0
165,implementation,8.0,54.0
166,importance,4.0,5.0
167,inclusion,16.0,1.0
168,increase,20.0,3.0
169,indicator,7.0,1.0
170,indicators,17.0,3.0
171,industry,36.0,1.0
172,information,27.0,82.0
173,initiatives,7.0,1.0
174,institutions,3.0,6.0
175,integrity,9.0,2.0
176,interaction,4.0,1.0
177,interface,1.0,2.0
178,intergovernmental,1.0,7.0
179,investments,21.0,1.0
180,ipcc,7.0,10.0
181,island,4.0,1.0
182,issue,1.0,1.0
183,issues,18.0,1.0
184,jobs,3.0,1.0
185,knowledge,4.0,5.0
186,languages,2.0,2.0
187,level,16.0,2.0
188,levels,18.0,7.0
189,limit,1.0,1.0
190,limitations,1.0,1.0
191,line,18.0,11.0
192,maintenance,3.0,1.0
193,manage,8.0,2.0
194,management,75.0,2.0
195,manner,1.0,2.0
196,march,3.0,1.0
197,matters,1.0,28.0
198,measures,17.0,24.0
199,mechanism,2.0,8.0
200,meeting,1.0,51.0
201,meetings,5.0,3.0
202,member,5.0,4.0
203,members,3.0,11.0
204,methodology,2.0,1.0
205,metrics,3.0,6.0
206,mitigation,2.0,20.0
207,model,4.0,1.0
208,modelling,1.0,1.0
209,models,2.0,1.0
210,monitoring,10.0,1.0
211,national,1.0,3.0
212,nations,4.0,7.0
213,nature,7.0,2.0
214,need,2.0,2.0
215,needs,3.0,15.0
216,network,2.0,2.0
217,november,1.0,7.0
218,number,41.0,3.0
219,obligations,1.0,1.0
220,operation,7.0,15.0
221,opportunities,35.0,1.0
222,options,1.0,3.0
223,order,4.0,6.0
224,outcome,1.0,1.0
225,outcomes,1.0,1.0
226,page,4.0,2.0
227,panel,2.0,7.0
228,parameters,1.0,1.0
229,paris,5.0,180.0
230,part,23.0,9.0
231,participation,3.0,2.0
232,parties,4.0,231.0
233,partner,6.0,2.0
234,parts,6.0,2.0
235,party,3.0,34.0
236,peoples,1.0,2.0
237,percentage,4.0,1.0
238,period,1.0,3.0
239,periods,2.0,2.0
240,plan,9.0,4.0
241,planning,13.0,4.0
242,plans,4.0,16.0
243,platform,6.0,3.0
244,point,4.0,12.0
245,policies,17.0,5.0
246,policy,17.0,4.0
247,position,5.0,1.0
248,practices,2.0,9.0
249,preparation,7.0,5.0
250,president,3.0,1.0
251,principle,1.0,1.0
252,priorities,5.0,7.0
253,priority,8.0,1.0
254,procedures,11.0,18.0
255,process,28.0,3.0
256,processes,5.0,3.0
257,products,9.0,2.0
258,programme,9.0,15.0
259,programmes,3.0,3.0
260,progress,2.0,7.0
261,project,45.0,1.0
262,projects,30.0,2.0
263,promote,2.0,2.0
264,protocol,2.0,7.0
265,provide,2.0,8.0
266,providers,2.0,2.0
267,provisions,1.0,5.0
268,public,2.0,1.0
269,purpose,2.0,1.0
270,quality,7.0,1.0
271,recognition,1.0,3.0
272,recommendation,1.0,1.0
273,recommendations,6.0,8.0
274,record,1.0,4.0
275,reduction,16.0,4.0
276,reference,7.0,13.0
277,regions,2.0,1.0
278,registry,2.0,57.0
279,relation,3.0,12.0
280,relationship,2.0,2.0
281,relevant,2.0,1.0
282,report,1.0,14.0
283,report,108.0,14.0
284,reports,6.0,10.0
285,representation,1.0,1.0
286,resilience,12.0,2.0
287,resources,8.0,26.0
288,respect,3.0,1.0
289,respond,2.0,1.0
290,response,17.0,23.0
291,responsibilities,2.0,1.0
292,result,4.0,1.0
293,results,12.0,1.0
294,review,16.0,4.0
295,risk,54.0,1.0
296,risks,52.0,1.0
297,roles,1.0,2.0
298,scope,21.0,4.0
299,second,2.0,1.0
300,section,1.0,5.0
301,sections,1.0,1.0
302,sector,4.0,1.0
303,sector,4.0,2.0
304,sectors,3.0,4.0
305,security,41.0,2.0
306,services,11.0,1.0
307,session,1.0,28.0
308,sessions,9.0,9.0
309,share,18.0,1.0
310,source,6.0,3.0
311,sources,8.0,5.0
312,special,1.0,3.0
313,specific,1.0,2.0
314,stakeholders,12.0,8.0
315,state,4.0,1.0
316,states,3.0,4.0
317,status,2.0,2.0
318,steps,4.0,2.0
319,strategies,1.0,8.0
320,strengthen,4.0,1.0
321,studies,7.0,3.0
322,submissions,1.0,6.0
323,support,23.0,44.0
324,system,13.0,1.0
325,systems,4.0,4.0
326,target,10.0,3.0
327,targets,6.0,3.0
328,technology,24.0,8.0
329,temperature,1.0,1.0
330,term,5.0,2.0
331,terms,2.0,4.0
332,time,7.0,12.0
333,tools,2.0,5.0
334,towards,11.0,3.0
335,transfer,1.0,2.0
336,transition,15.0,2.0
337,transparency,16.0,12.0
338,transport,3.0,1.0
339,type,1.0,2.0
340,types,1.0,2.0
341,united,7.0,7.0
342,updates,1.0,2.0
343,use,17.0,8.0
344,values,9.0,2.0
345,version,1.0,3.0
346,views,3.0,7.0
347,visibility,3.0,1.0
348,water,69.0,1.0
349,way,15.0,1.0
350,ways,4.0,2.0
351,web,2.0,2.0
352,work,44.0,33.0
353,workforce,6.0,1.0
354,working,3.0,3.0
355,workshops,3.0,5.0
356,world,21.0,1.0
357,year,37.0,10.0
358,years,18.0,3.0
