,keyword,Frequency.26,Frequency
0,ability,2.0,1.0
1,academia,1.0,1.0
2,acceptance,6.0,1.0
3,access,18.0,8.0
4,accessibility,2.0,1.0
5,accordance,37.0,36.0
6,account,14.0,14.0
7,accounting,5.0,10.0
8,accuracy,2.0,2.0
9,achievement,6.0,1.0
10,action,8.0,15.0
11,actions,14.0,26.0
12,activities,118.0,14.0
13,activity,5.0,3.0
14,acts,1.0,1.0
15,adaptation,6.0,143.0
16,address,2.0,3.0
17,adoption,8.0,6.0
18,adopts,1.0,2.0
19,advice,2.0,5.0
20,agencies,5.0,4.0
21,agreement,23.0,179.0
22,amount,15.0,1.0
23,analysis,9.0,1.0
24,applicable,1.0,1.0
25,application,11.0,4.0
26,appointments,2.0,2.0
27,approach,18.0,7.0
28,approaches,8.0,8.0
29,approval,6.0,1.0
30,april,15.0,3.0
31,areas,70.0,3.0
32,arrangements,13.0,7.0
33,article,1.0,116.0
34,aspects,9.0,1.0
35,assessment,22.0,2.0
36,assistance,14.0,6.0
37,attendance,1.0,1.0
38,availability,5.0,7.0
39,avoidance,1.0,2.0
40,awareness,3.0,2.0
41,balance,128.0,5.0
42,baseline,6.0,1.0
43,basis,41.0,12.0
44,bodies,32.0,22.0
45,body,10.0,12.0
46,building,10.0,1.0
47,burden,1.0,2.0
48,capabilities,4.0,1.0
49,capability,2.0,2.0
50,capacities,6.0,3.0
51,capacity,48.0,9.0
52,capacity-building,1.0,6.0
53,case,7.0,3.0
54,categories,10.0,7.0
55,challenges,4.0,2.0
56,change,10.0,18.0
57,changes,21.0,4.0
58,channels,4.0,2.0
59,chapter,2.0,1.0
60,check,3.0,1.0
61,clarity,1.0,9.0
62,climate,31.0,31.0
63,collaboration,16.0,8.0
64,committee,56.0,38.0
65,common,1.0,2.0
66,communicate,1.0,1.0
67,communication,9.0,36.0
68,communications,19.0,32.0
69,communities,36.0,1.0
70,comparability,1.0,1.0
71,comparison,3.0,1.0
72,completeness,3.0,1.0
73,compliance,50.0,1.0
74,component,1.0,7.0
75,components,8.0,4.0
76,concern,4.0,1.0
77,concerns,1.0,1.0
78,concrete,1.0,1.0
79,conference,5.0,53.0
80,consequences,2.0,1.0
81,consideration,6.0,24.0
82,consistency,3.0,6.0
83,construction,94.0,1.0
84,contact,2.0,1.0
85,contacts,4.0,1.0
86,contain,1.0,1.0
87,content,7.0,4.0
88,contents,4.0,1.0
89,context,3.0,2.0
90,contribute,2.0,1.0
91,contribution,158.0,32.0
92,contributions,2.0,50.0
93,convention,2.0,16.0
94,cooperation,16.0,3.0
95,countries,91.0,28.0
96,country,17.0,41.0
97,coverage,4.0,3.0
98,creation,3.0,1.0
99,criteria,6.0,1.0
100,data,24.0,5.0
101,date,3.0,3.0
102,days,7.0,2.0
103,december,35.0,16.0
104,decent,1.0,1.0
105,decisions,15.0,11.0
106,deposit,4.0,1.0
107,depositary,1.0,1.0
108,description,20.0,2.0
109,determines,3.0,1.0
110,development,344.0,15.0
111,dialogue,6.0,1.0
112,differences,1.0,1.0
113,dissemination,1.0,1.0
114,diversification,1.0,8.0
115,document,11.0,5.0
116,documents,25.0,8.0
117,domestic,4.0,1.0
118,draft,3.0,6.0
119,drawing,1.0,1.0
120,economic,14.0,1.0
121,economy,6.0,1.0
122,education,19.0,1.0
123,effectiveness,5.0,6.0
124,efficiency,95.0,1.0
125,effort,10.0,2.0
126,efforts,32.0,17.0
127,element,3.0,1.0
128,elements,8.0,6.0
129,emission,12.0,3.0
130,emissions,77.0,26.0
131,end,6.0,1.0
132,energy,264.0,2.0
