,keyword,Frequency.41,Frequency
0,ability,2.0,1.0
1,acceptance,2.0,1.0
2,access,7.0,8.0
3,accordance,6.0,36.0
4,account,5.0,14.0
5,accounting,8.0,10.0
6,accuracy,4.0,2.0
7,act,1.0,2.0
8,action,9.0,15.0
9,actions,2.0,26.0
10,activities,24.0,14.0
11,activity,2.0,3.0
12,address,4.0,3.0
13,advance,3.0,1.0
14,advice,2.0,5.0
15,agreement,3.0,179.0
16,agriculture,1.0,2.0
17,amount,4.0,1.0
18,analysis,3.0,1.0
19,application,6.0,4.0
20,appreciation,1.0,4.0
21,approach,6.0,7.0
22,approval,1.0,1.0
23,april,1.0,3.0
24,areas,26.0,3.0
25,arrangements,1.0,7.0
26,articles,6.0,5.0
27,aspects,4.0,1.0
28,assessment,18.0,2.0
29,assist,1.0,1.0
30,assistance,2.0,6.0
31,attendance,1.0,1.0
32,awareness,3.0,2.0
33,balance,3.0,5.0
34,basis,9.0,12.0
35,body,3.0,12.0
36,building,6.0,1.0
37,capabilities,6.0,1.0
38,capability,10.0,2.0
39,capacity,11.0,9.0
40,carry,8.0,1.0
41,case,14.0,3.0
42,categories,4.0,7.0
43,chairs,1.0,2.0
44,challenges,3.0,2.0
45,change,20.0,18.0
46,changes,2.0,4.0
47,channels,5.0,2.0
48,check,2.0,1.0
49,climate,28.0,31.0
50,committee,29.0,38.0
51,communicate,1.0,1.0
52,communication,17.0,36.0
53,communications,1.0,32.0
54,communities,8.0,1.0
55,comparability,1.0,1.0
56,compliance,34.0,1.0
57,components,1.0,4.0
58,concern,1.0,1.0
59,concerns,8.0,1.0
60,conference,3.0,53.0
61,consensus,1.0,5.0
62,consistency,2.0,6.0
63,construction,27.0,1.0
64,consultation,6.0,1.0
65,contacts,1.0,1.0
66,content,9.0,4.0
67,contents,2.0,1.0
68,continue,1.0,1.0
69,contribute,1.0,1.0
70,contribution,17.0,32.0
71,contributions,8.0,50.0
72,convention,3.0,16.0
73,conventions,3.0,1.0
74,cooperation,43.0,3.0
75,countries,22.0,28.0
76,country,3.0,41.0
77,coverage,5.0,3.0
78,criteria,2.0,1.0
79,data,11.0,5.0
80,date,1.0,3.0
81,days,3.0,2.0
82,december,1.0,16.0
83,decent,3.0,1.0
84,decision,1.0,103.0
85,decisions,3.0,11.0
86,developed,3.0,16.0
87,development,196.0,15.0
88,disaster,3.0,1.0
89,dissemination,1.0,1.0
90,diversification,2.0,8.0
91,documents,1.0,8.0
92,domestic,1.0,1.0
93,download,1.0,1.0
94,economic,1.0,1.0
95,economy,7.0,1.0
96,education,11.0,1.0
97,effectiveness,2.0,6.0
98,efficiency,12.0,1.0
99,effort,3.0,2.0
100,efforts,18.0,17.0
101,elements,4.0,6.0
102,emission,47.0,3.0
103,emissions,40.0,26.0
104,end,5.0,1.0
105,energy,178.0,2.0
106,enhance,10.0,6.0
107,enhanced,1.0,1.0
108,entities,2.0,11.0
109,environment,54.0,3.0
110,environments,2.0,3.0
111,estimation,1.0,1.0
112,evaluation,11.0,1.0
113,event,6.0,2.0
114,events,5.0,2.0
115,example,1.0,2.0
116,exchange,12.0,3.0
117,executive,4.0,2.0
118,experience,7.0,4.0
119,expert,7.0,12.0
120,experts,14.0,6.0
121,features,1.0,3.0
122,fields,10.0,1.0
123,finance,5.0,19.0
124,financial,1.0,8.0
125,forestry,1.0,1.0
126,forests,2.0,2.0
127,formulate,1.0,2.0
128,framework,10.0,6.0
129,functions,3.0,9.0
130,fund,1.0,10.0
131,gas,235.0,10.0
132,gases,3.0,1.0
133,general,11.0,1.0
134,global,14.0,4.0
135,goal,11.0,3.0
136,goals,8.0,4.0
137,good,2.0,1.0
138,green,6.0,2.0
139,greenhouse,28.0,10.0
140,group,5.0,16.0
141,groups,5.0,4.0
142,growth,30.0,1.0
143,guidance,4.0,38.0
144,guide,4.0,2.0
145,guidelines,5.0,7.0
146,help,7.0,1.0
147,identification,1.0,3.0
148,impact,10.0,7.0
149,impacts,1.0,14.0
150,implementation,8.0,54.0
151,importance,13.0,5.0
152,incentives,1.0,1.0
153,increase,8.0,3.0
154,indicator,5.0,1.0
155,indicators,2.0,3.0
156,industry,44.0,1.0
157,information,23.0,82.0
158,initiatives,8.0,1.0
159,institutions,4.0,6.0
160,integration,13.0,1.0
161,integrity,12.0,2.0
162,internet,2.0,4.0
163,investments,3.0,1.0
164,island,1.0,1.0
165,issue,4.0,1.0
166,issues,5.0,1.0
167,jobs,1.0,1.0
168,june,3.0,9.0
169,knowledge,5.0,5.0
170,level,10.0,2.0
171,levels,8.0,7.0
172,line,4.0,11.0
173,links,3.0,1.0
174,maintenance,1.0,1.0
175,manage,2.0,2.0
176,management,193.0,2.0
177,mandates,1.0,8.0
178,manner,7.0,2.0
179,march,1.0,1.0
180,matter,1.0,5.0
181,matters,2.0,28.0
182,measures,42.0,24.0
183,mechanism,23.0,8.0
184,meeting,10.0,51.0
185,meetings,16.0,3.0
186,member,5.0,4.0
187,members,6.0,11.0
188,methods,2.0,2.0
189,mining,2.0,1.0
190,model,7.0,1.0
191,modelling,2.0,1.0
192,models,2.0,1.0
193,monitoring,17.0,1.0
194,national,23.0,3.0
195,nations,9.0,7.0
196,nature,3.0,2.0
197,need,1.0,2.0
198,needs,2.0,15.0
199,network,10.0,2.0
200,november,2.0,7.0
201,number,10.0,3.0
202,obligations,1.0,1.0
203,office,3.0,2.0
204,official,1.0,2.0
205,operation,28.0,15.0
206,opportunities,20.0,1.0
207,order,26.0,6.0
208,organization,4.0,1.0
209,organizations,2.0,14.0
210,outcome,1.0,1.0
211,outcomes,1.0,1.0
212,paris,3.0,180.0
213,part,10.0,9.0
214,participation,7.0,2.0
215,parties,2.0,231.0
216,partner,1.0,2.0
217,parts,2.0,2.0
218,party,5.0,34.0
219,percentage,6.0,1.0
220,plan,23.0,4.0
221,planning,2.0,4.0
222,plans,10.0,16.0
223,platform,16.0,3.0
224,point,1.0,12.0
225,points,2.0,2.0
226,policies,5.0,5.0
227,policy,6.0,4.0
228,position,5.0,1.0
229,poverty,26.0,2.0
230,practices,13.0,9.0
231,preparation,1.0,5.0
232,president,6.0,1.0
233,principle,11.0,1.0
234,priorities,1.0,7.0
235,priority,6.0,1.0
236,procedures,7.0,18.0
237,process,22.0,3.0
238,processes,2.0,3.0
239,products,42.0,2.0
240,progress,8.0,7.0
241,project,38.0,1.0
242,projects,43.0,2.0
243,promote,19.0,2.0
244,proposal,1.0,1.0
245,proposals,2.0,1.0
246,provide,11.0,8.0
247,providers,1.0,2.0
248,provisions,3.0,5.0
249,public,7.0,1.0
250,purpose,1.0,1.0
251,purposes,1.0,1.0
252,pursuant,1.0,1.0
253,qualifications,1.0,1.0
254,quality,49.0,1.0
255,recognition,3.0,3.0
256,record,1.0,4.0
257,reduction,22.0,4.0
258,reference,2.0,13.0
259,regions,10.0,1.0
260,relation,2.0,12.0
261,relationship,1.0,2.0
262,report,77.0,14.0
263,reports,9.0,10.0
264,request,1.0,1.0
265,resources,24.0,26.0
266,respect,8.0,1.0
267,response,16.0,23.0
268,responsibilities,4.0,1.0
269,result,4.0,1.0
270,results,10.0,1.0
271,review,5.0,4.0
272,risk,35.0,1.0
273,risks,24.0,1.0
274,roles,1.0,2.0
275,scope,3.0,4.0
276,second,1.0,1.0
277,section,3.0,5.0
278,sections,1.0,1.0
279,sector,3.0,1.0
280,sector,3.0,2.0
281,sectors,3.0,4.0
282,security,17.0,2.0
283,services,12.0,1.0
284,sessions,4.0,9.0
285,share,8.0,1.0
286,source,15.0,3.0
287,sources,14.0,5.0
288,special,4.0,3.0
289,stakeholders,20.0,8.0
290,state,4.0,1.0
291,status,2.0,2.0
292,steps,2.0,2.0
293,stock,10.0,1.0
294,strategies,6.0,8.0
295,strengthen,11.0,1.0
296,structure,16.0,2.0
297,studies,4.0,3.0
