Company,Year,Overlap-coefficient,Cos-similarity
BP,2011,58.35443037974684,0.22131208544516257
BP,2012,57.34177215189873,0.20778182167514983
BP,2013,57.08860759493671,0.2083036572324424
BP,2014,58.734177215189874,0.2066171666132878
BP,2015,59.367088607594944,0.20454286776694142
Exxon,2011,61.26582278481013,0.21814593004285135
Exxon,2012,63.41772151898735,0.21687274387119085
Exxon,2013,64.55696202531645,0.23097394940085447
Exxon,2014,64.17721518987342,0.21728492149221187
Exxon,2015,65.94936708860759,0.22553013792874074
Chev,2011,45.949367088607595,0.3086440910393953
Chev,2012,46.835443037974684,0.2549171929712191
Chev,2013,34.93670886075949,0.3594314429000805
Chev,2014,37.848101265822784,0.35037606377486025
Chev,2015,45.31645569620253,0.2238979345864471
Total,2011,50.25316455696203,0.1451198491898663
Total,2012,45.18987341772152,0.1525191944416466
Total,2013,52.0253164556962,0.1743779395729296
Total,2014,40.63291139240506,0.25125329439457667
Shell,2011,49.24050632911393,0.17062295970031863
Shell,2012,50.75949367088608,0.17225329259554648
Shell,2013,54.810126582278485,0.18206491765067723
Shell,2014,59.74683544303797,0.1902252821373666
Shell,2015,57.21518987341773,0.19314765694749478
Equi,2011,66.07594936708861,0.22215668159800012
Equi,2012,57.974683544303794,0.23287133588937203
Equi,2013,50.0,0.2256907468259868
Equi,2014,50.25316455696203,0.22528331982346106
Equi,2015,51.13924050632911,0.21480365907514348
Rosn,2011,55.316455696202524,0.18703413775847882
Rosn,2012,53.417721518987335,0.21971684502774386
Rosn,2013,58.9873417721519,0.20268935920587822
Rosn,2014,62.911392405063296,0.229223177497812
Rosn,2015,63.037974683544306,0.21040606781183568
Gazp,2011,56.9620253164557,0.14811832562090876
Gazp,2013,59.74683544303797,0.1636063757040672
Gazp,2015,57.34177215189873,0.1783582388100381
Pb,2011,65.82278481012658,0.22487292731110597
Pb,2012,64.43037974683544,0.21124706625434359
Pb,2013,53.54430379746835,0.20593717679790616
Pb,2014,54.68354430379747,0.2190167964616315
Pb,2015,59.49367088607595,0.20638839033705342
Kuwa,2013,50.63291139240506,0.1698842817721938
Kuwa,2015,44.43037974683544,0.19935517916458878
Qata,2011,58.9873417721519,0.18784024654217707
Qata,2012,64.30379746835443,0.18350205826780433
Qata,2013,62.0253164556962,0.1466382787141947
Qata,2014,50.75949367088608,0.19575230610375347
Qata,2015,49.24050632911393,0.20024912421507884
Pch,2014,54.177215189873415,0.25268940948728486
Pch,2015,59.87341772151898,0.180786240987794
Indi,2011,47.59493670886076,0.190721581126161
Indi,2013,58.734177215189874,0.19544170493497587
Indi,2014,52.53164556962025,0.2606632085334921
Indi,2015,51.392405063291136,0.15203302050732043
Pn,2011,42.91139240506329,0.20577208932862956
Pn,2012,42.151898734177216,0.3565503826961991
Pn,2013,47.59493670886076,0.21164902266331617
Pn,2014,57.46835443037974,0.22567072041365135
