Company,Year,Overlap-coefficient,Cos-similarity
BP,2016,55.45023696682464,0.20022361052247045
BP,2017,52.44865718799369,0.1905438228499163
BP,2018,56.39810426540285,0.1942703953135564
BP,2019,62.875197472353875,0.21086921482419332
Exxon,2016,57.81990521327014,0.25897860047188176
Exxon,2017,41.864139020537124,0.2404600599236977
Exxon,2018,48.02527646129542,0.28063189160849106
Exxon,2019,47.39336492890995,0.2762968719885405
Chev,2016,43.91785150078989,0.23102188540166285
Chev,2017,45.497630331753555,0.24059587613930408
Chev,2018,46.12954186413902,0.20133011217664185
Chev,2019,49.13112164296998,0.20327571059001148
Shell,2016,61.92733017377567,0.16331185807636048
Shell,2017,62.08530805687204,0.21805050778753995
Shell,2018,64.92890995260665,0.20740739028563815
Shell,2019,61.92733017377567,0.2094870591142744
Equi,2016,52.76461295418642,0.20114753079189962
Equi,2017,53.396524486571884,0.21228460768684412
Equi,2018,50.71090047393365,0.20274152830832026
Equi,2019,56.71406003159558,0.2167209306202706
Rosn,2016,61.7693522906793,0.23758120236182823
Rosn,2017,65.24486571879937,0.2122517379161799
Rosn,2018,62.875197472353875,0.22449814280533756
Rosn,2019,68.8783570300158,0.20156507872697518
Gazp,2016,58.92575039494471,0.1487097168804213
Gazp,2017,66.0347551342812,0.1624428726322782
Gazp,2018,65.71879936808847,0.15584525369628247
Gazp,2019,69.03633491311216,0.1508808587951486
Pb,2016,64.45497630331754,0.18068127183341617
Pb,2017,62.40126382306477,0.21345002982684524
Pb,2018,63.191153238546605,0.2219728750288794
Pb,2019,72.1958925750395,0.25889151191174886
Kuwa,2017,52.76461295418642,0.21540357829004916
Kuwa,2019,50.71090047393365,0.22176460091316477
Qata,2016,45.18167456556082,0.18180339248882438
Qata,2017,53.55450236966824,0.17105939308958398
Qata,2018,59.55766192733017,0.20536034251661617
Qata,2019,61.45339652448657,0.19070871145606033
Pch,2016,57.81990521327014,0.16303470862470898
Pch,2017,54.66034755134282,0.15178275485972156
Pch,2018,53.55450236966824,0.15462863934686333
Pch,2019,45.18167456556082,0.18180339248882438
Indi,2016,54.818325434439174,0.15962829190600816
Indi,2017,57.81990521327014,0.184229926903546
Indi,2018,59.241706161137444,0.19777881514288165
Indi,2019,52.44865718799369,0.17609548221532206
Pn,2016,56.24012638230648,0.23485448366326664
Pn,2017,56.55608214849921,0.19326417542796262
Pn,2018,60.505529225908376,0.2116822137035527
