UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
Parties,401,Noun,1,1
Agreement,243,Noun,1,1
Article,134,Noun,0,0
Conference,120,Noun,0,1
paragraph,116,Noun,0,0
Convention,84,Noun,0,1
country,76,Noun,1,1
meeting,76,Noun,1,1
